"snapshot_date","window_start","window_end","store_name","spot_id","storage_id","product_name","product_id","ingredient_name","ingredient_id","current_avg_sales_day","current_min_stock"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Європейська""","295","Піца ""Європейська""","397","1,21","2"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Італійська""","660","Піца ""Італійська""","1413","2,93","5"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","1,86","3"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,86","2"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""М*ясна""","297","Піца ""М*ясна""","393","4,43","7"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Мисливська""","298","Піца ""Мисливська""","394","3","5"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Особлива""","300","Піца ""Особлива""","396","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Поло""","659","Піца ""Поло""","1411","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Сирна""","301","Піца ""Сирна""","395","2,29","4"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Американська""","1055","Піца ""Американська""","2215","0,86","2"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Верона""","879","Піца ""Верона""","1954","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Гавайська""","292","Піца ""Гавайська""","391","2,43","4"
